City,City Alias,County,State Short,State,Zip Codes
Apo,Apo,,AE,US Armed Forces Europe,09014
DPO,Dpo,,AE,US Armed Forces Europe,09498
FPO,Fpo,,AE,US Armed Forces Europe,09596
Fpo,Apo,,AE,US Armed Forces Europe,09596
Anchorage,Anchorage,Anchorage,AK,Alaska,"99501,99502,99503,99504,99505,99506,99507,99508,99509,99510,99511,99513,99514,99515,99516,99517,99518,99519,99520,99521,99522,99523,99524,99529,99530,99540,99599,99695"
Jber,Ft Richardson,Anchorage,AK,Alaska,"99505,99506"
Jber,Anchorage,Anchorage,AK,Alaska,"99505,99506"
Jber,Fort Richardson,Anchorage,AK,Alaska,"99505,99506"
Jber,Anch,Anchorage,AK,Alaska,"99505,99506"
Jber,Elmendorf AFB,Anchorage,AK,Alaska,"99505,99506"
JBER,Jber,Anchorage,AK,Alaska,"99505,99506"
Indian,Indian,Anchorage,AK,Alaska,99540
Indian,Anchorage,Anchorage,AK,Alaska,99540
Kongiganak,Kongiganak,Bethel,AK,Alaska,99545
Adak,Adak,Aleutians West,AK,Alaska,"99546,99571"
Atka,Atka,Aleutians West,AK,Alaska,99547
Chignik Lake,Chignik Lake,Lake And Peninsula,AK,Alaska,99548
Chignik Lake,Chignik,Lake And Peninsula,AK,Alaska,99548
Port Heiden,King Salmon,Lake And Peninsula,AK,Alaska,99549
Port Heiden,Port Heiden,Lake And Peninsula,AK,Alaska,99549
Port Lions,Port Lions,Kodiak Island,AK,Alaska,99550
Akiachak,Akiachak,Bethel,AK,Alaska,99551
Akiak,Akiak,Bethel,AK,Alaska,99552
Akutan,Akutan,Aleutians East,AK,Alaska,99553
Alakanuk,Alakanuk,Wade Hampton,AK,Alaska,99554
Aleknagik,Aleknagik,Dillingham,AK,Alaska,99555
Anchor Point,Anchor Point,Kenai Peninsula,AK,Alaska,99556
Anchor Point,Nikolaevsk,Kenai Peninsula,AK,Alaska,99556
Aniak,Chuathbaluk,Bethel,AK,Alaska,99557
Aniak,Stony River,Bethel,AK,Alaska,99557
Aniak,Aniak,Bethel,AK,Alaska,99557
Anvik,Anvik,Yukon Koyukuk,AK,Alaska,99558
Bethel,Newtok,Bethel,AK,Alaska,"99559,99637,99679,99680,99690"
Bethel,Bethel,Bethel,AK,Alaska,"99559,99637,99679,99680,99690"
Bethel,Napaskiak,Bethel,AK,Alaska,"99559,99637,99679,99680,99690"
Bethel,Atmautluak,Bethel,AK,Alaska,"99559,99637,99679,99680,99690"
Chefornak,Chefornak,Bethel,AK,Alaska,99561
Chevak,Chevak,Wade Hampton,AK,Alaska,99563
Chignik,Chignik,Lake And Peninsula,AK,Alaska,"99548,99564"
Chignik Lagoon,Chignik Lagoon,Lake And Peninsula,AK,Alaska,99565
Chignik Lagoon,Chignik Lagn,Lake And Peninsula,AK,Alaska,99565
Chitina,Chitina,Valdez Cordova,AK,Alaska,99566
Chugiak,Chugiak,Anchorage,AK,Alaska,99567
Clam Gulch,Clam Gulch,Kenai Peninsula,AK,Alaska,99568
Clarks Point,Clarks Point,Dillingham,AK,Alaska,99569
Cold Bay,Cold Bay,Aleutians East,AK,Alaska,"99546,99571"
Cold Bay,Nelson Lagoon,Aleutians East,AK,Alaska,"99546,99571"
Cold Bay,Adak,Aleutians East,AK,Alaska,"99546,99571"
Cooper Landing,Cooper Lndg,Kenai Peninsula,AK,Alaska,99572
Cooper Landing,Cooper Landing,Kenai Peninsula,AK,Alaska,99572
Copper Center,Copper Center,Valdez Cordova,AK,Alaska,99573
Cordova,Chenega Bay,Valdez Cordova,AK,Alaska,"99574,99677"
Cordova,Cordova,Valdez Cordova,AK,Alaska,"99574,99677"
Crooked Creek,Crooked Creek,Bethel,AK,Alaska,99575
Dillingham,Koliganek,Dillingham,AK,Alaska,99576
Dillingham,Dillingham,Dillingham,AK,Alaska,99576
Dillingham,Twin Hills,Dillingham,AK,Alaska,99576
Eagle River,Eagle River,Anchorage,AK,Alaska,99577
Eek,Eek,Bethel,AK,Alaska,99578
Egegik,Egegik,Lake And Peninsula,AK,Alaska,99579
Ekwok,Ekwok,Dillingham,AK,Alaska,99580
Emmonak,Emmonak,Wade Hampton,AK,Alaska,99581
False Pass,False Pass,Aleutians East,AK,Alaska,99583
Marshall,Marshall,Wade Hampton,AK,Alaska,99585
Gakona,Miers Lake,Valdez Cordova,AK,Alaska,99586
Gakona,Gakona,Valdez Cordova,AK,Alaska,99586
